id_work;isAir;idAir;title;line;best-candidate-title
1001;1;1;AIR du Château de mon Oncle.;251;AIR du Château de mon oncle.
1001;1;2;AIR : Vaudeville de Partie et Revanche.;427;AIR du Vaudeville de Partie et Revanche.
1001;1;3;AIR : Restez, restez, troupe jolie.;589;AIR : Restez, restez troupe jolie.
1001;1;4;AIR : Vaudeville du Secret de madame.;689;AIR : Adieu bonheur.
1001;1;5;AIR : A la façon de Barbari.;902;AIR : Adieu, je vous fuis, bois charmant.
1001;1;6;AIR : Je regardais Madelinette."ſ;1005;AIR : Je regardais Madelinette.
1001;1;7;AIR : Vive une femme de téte.;1077;AIR : Vive une femme de tête.
1001;1;8;AIR : Honneur aux enfans de la France !;1422;AIR : Adieu bonheur.
1001;1;9;AIR : Voulant par ses œuvres complètes.;1496;AIR : Adieu bonheur.
1001;1;10;AIR : Vaudeville de haine aux femmes.;1593;AIR du Vaudeville de Haine aux femmes.
1001;1;11;AIR : Je reconnais ce militaire.;1641;AIR : Adieu bonheur.
1001;1;12;AIR : des Comediens.;1693;AIR : Téméraire.
1001;1;13;AIR: Vaudeville des Mauvaises Tétes.;2023;AIR : Adieu bonheur.
1001;1;14;AIR : Rassurez-vous, je me mets à ma place.;2143;AIR : Aussitôt que je t'aperçois.
1001;1;15;AIR : En amour comme en amitie.;2256;AIR : En amour comme en amitié.
1001;1;16;CHOEUR.=AIR : La pastourelle;2290;AIR : La pastourelle.
1001;0;;CHOEUR ,;2320;
1001;1;17;AIR : La sentinelle.;2418;AIR de la Sentinelle.
1001;0;;CHOEUR.;2438;
