id;precision;rappel;f1
1001;0.85;0.94;0.89
1002;0.88;0.88;0.88
1003;0.81;1.00;0.89
1004;0.94;0.89;0.92
1005;0.73;0.80;0.76
1006;0.94;1.00;0.97
1007;0.93;0.93;0.93
1008;0.95;1.00;0.98
1009;0.87;1.00;0.93
1010;0.96;1.00;0.98
1011;0.93;0.93;0.93
1012;0.94;0.94;0.94
1013;0.86;0.95;0.90
1014;0.93;1.00;0.96
1015;0.89;1.00;0.94
1016;0.90;0.90;0.90
1017;0.82;1.00;0.90
1018;0.79;1.00;0.88
1019;0.94;1.00;0.97
1020;0.71;0.61;0.66
1021;0.88;1.00;0.93
1022;0.86;0.92;0.89
1024;0.94;1.00;0.97
1025;0.81;0.94;0.87
1026;0.94;0.94;0.94
1027;0.86;0.92;0.89
1028;0.68;0.76;0.72
1030;0.76;1.00;0.86
1031;0.71;0.77;0.74
1032;0.90;1.00;0.95
1033;0.90;0.95;0.92
1034;0.86;0.93;0.89
1035;0.95;0.95;0.95
1036;0.94;0.94;0.94
1037;0.85;0.94;0.89
1038;0.96;0.96;0.96
1039;0.86;0.90;0.88
1040;0.89;0.89;0.89
1041;0.91;0.91;0.91
1042;0.79;1.00;0.88
1043;0.95;1.00;0.97
1044;0.90;0.90;0.90
1045;0.95;1.00;0.98
1046;0.86;1.00;0.92
1047;0.94;0.89;0.92
1048;0.83;0.87;0.85
1049;0.93;0.82;0.87
1050;0.86;0.90;0.88
1051;0.62;1.00;0.76
1052;0.95;0.86;0.90
1053;0.83;0.88;0.86
1054;0.92;0.89;0.91
1055;0.85;0.81;0.83
1056;0.96;0.96;0.96
1057;0.93;0.93;0.93
1058;0.97;0.90;0.93
1059;0.96;1.00;0.98
1060;0.83;0.91;0.87
1061;0.92;1.00;0.96
1062;0.82;0.88;0.85
1063;0.92;0.85;0.88
1064;0.93;0.93;0.93
1065;0.94;0.97;0.96
1066;0.81;0.88;0.84
1067;0.91;0.91;0.91
1068;0.83;1.00;0.91
1069;0.91;1.00;0.95
1070;0.94;1.00;0.97
1071;0.94;1.00;0.97
1072;0.94;1.00;0.97
1073;0.90;1.00;0.95
1074;0.82;1.00;0.90
1075;0.85;1.00;0.92
1076;0.93;1.00;0.96
1077;0.71;0.92;0.80
1078;0.93;1.00;0.97
1079;0.94;1.00;0.97
1080;0.88;1.00;0.94
1081;0.91;1.00;0.95
1082;0.83;0.94;0.88
1083;0.94;1.00;0.97
1084;0.83;0.95;0.88
1085;0.89;0.94;0.91
1086;0.94;0.92;0.93
1087;0.96;1.00;0.98
1088;0.87;1.00;0.93
1089;0.95;0.95;0.95
1090;0.94;0.94;0.94
1091;0.95;1.00;0.98
1092;0.96;0.93;0.95
1093;0.67;1.00;0.80
1094;0.94;1.00;0.97
1095;0.82;0.82;0.82
1096;0.92;1.00;0.96
1097;0.84;0.95;0.89
1098;0.96;0.85;0.90
1099;0.92;0.92;0.92
1100;0.89;0.92;0.91
1101;0.86;0.89;0.87
1102;0.89;1.00;0.94
1103;0.75;1.00;0.86
1104;0.94;0.94;0.94
1105;0.97;1.00;0.99
1106;0.91;0.84;0.87
1107;0.94;1.00;0.97
1108;0.82;1.00;0.90
1109;0.86;0.86;0.86
1110;0.95;1.00;0.97
1111;0.87;1.00;0.93
1112;0.97;1.00;0.98
1113;0.80;0.91;0.85
1114;0.83;1.00;0.91
1115;0.94;0.94;0.94
1116;0.85;0.94;0.89
1117;0.89;1.00;0.94
1118;0.94;1.00;0.97
1119;0.59;1.00;0.74
1120;0.62;0.73;0.67
1121;0.82;0.82;0.82
1122;0.90;1.00;0.95
1124;0.95;0.87;0.91
******Macrostats du programme sur le corpus d'évaluation******

Précision: 0.88
Rappel: 0.94
Mesure-F1: 0.91
