id_work;precision;rappel;mesureF1
1;0.80;0.95;0.87
2;0.89;0.94;0.91
3;0.71;1.19;0.89
4;0.46;0.89;0.61
5;0.63;1.00;0.78
6;0.55;1.00;0.71
7;0.58;0.88;0.70
8;0.60;1.00;0.75
9;0.60;1.00;0.75
10;0.84;0.95;0.89
11;0.54;0.93;0.68
12;0.73;0.89;0.80
13;0.75;1.05;0.88
14;0.65;1.00;0.79
15;0.61;1.06;0.77
16;0.87;0.95;0.91
17;0.75;1.12;0.90
18;0.66;1.10;0.82
19;0.89;1.00;0.94
20;0.59;0.78;0.67
21;0.79;1.07;0.91
22;0.68;1.00;0.81
23;0.86;0.90;0.88
24;0.41;0.93;0.57
25;0.61;0.94;0.74
26;0.67;0.94;0.78
27;0.68;1.00;0.81
28;0.89;1.00;0.94
29;0.66;2.09;1.00
30;0.56;1.14;0.75
