id_work;precision;rappel;mesureF1
1;0.80;0.78;0.79
2;0.89;0.82;0.85
3;0.71;0.86;0.78
4;0.46;0.79;0.58
5;0.63;0.70;0.67
6;0.55;0.50;0.52
7;0.58;0.53;0.56
8;0.60;0.90;0.72
9;0.60;0.67;0.63
10;0.84;0.77;0.80
11;0.54;0.73;0.62
12;0.73;0.50;0.59
13;0.75;0.75;0.75
14;0.65;0.77;0.70
15;0.61;0.50;0.55
16;0.87;0.67;0.75
17;0.75;0.75;0.75
18;0.66;0.71;0.68
19;0.89;0.62;0.73
20;0.59;0.61;0.60
21;0.79;0.93;0.85
22;0.68;0.77;0.72
23;0.86;0.76;0.81
24;0.41;0.73;0.53
25;0.61;0.53;0.57
26;0.67;0.94;0.78
27;0.68;0.96;0.80
28;0.89;0.88;0.89
30;0.56;1.00;0.71
31;0.65;0.86;0.74
32;0.79;0.78;0.78
33;0.75;0.74;0.74
34;0.56;0.67;0.61
35;0.70;0.68;0.69
36;0.55;0.88;0.68
37;0.71;0.77;0.74
38;0.54;0.69;0.61
39;0.68;0.43;0.53
40;0.62;0.71;0.66
41;0.50;0.91;0.65
42;0.66;0.55;0.60
43;0.75;0.88;0.81
44;0.53;0.40;0.46
45;0.54;0.80;0.65
46;0.67;0.67;0.67
47;0.65;0.68;0.67
48;0.70;0.74;0.72
49;0.61;0.59;0.60
50;0.72;0.71;0.72
51;0.43;0.62;0.51
